yr,rgCode,rgDesc,rtCode,rtTitle,ptCode,ptTitle,cmdCode,cmdDescE,TradeValue
2006,1,Import,499,Montenegro,724,Spain,73,Articles of iron or steel,496613
2003,1,Import,604,Peru,372,Ireland,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,12003
2016,1,Import,268,Georgia,376,Israel,70,Glass and glassware,82318
2011,2,Export,360,Indonesia,104,Myanmar,69,Ceramic products,323532
2004,2,Export,192,Cuba,124,Canada,74,Copper and articles thereof,1267655
2000,1,Import,620,Portugal,20,Andorra,75,Nickel and articles thereof,2095
1990,2,Export,392,Japan,470,Malta,83,Miscellaneous articles of base metal,117554
1997,1,Import,894,Zambia,251,France,86,"Railway, tramway locomotives, rolling stock, equipment",8875
2004,1,Import,72,Botswana,566,Nigeria,92,"Musical instruments, parts and accessories",6
1996,2,Export,458,Malaysia,548,Vanuatu,73,Articles of iron or steel,5962
2016,1,Import,191,Croatia,764,Thailand,76,Aluminium and articles thereof,12023
2010,2,Export,788,Tunisia,862,Venezuela,08,Edible fruit and nuts; peel of citrus fruit or melons,126400
2002,2,Export,388,Jamaica,251,France,61,"Articles of apparel, accessories, knit or crochet",2376
1999,2,Export,381,Italy,643,Russian Federation,22,"Beverages, spirits and vinegar",8026102
2011,2,Export,752,Sweden,703,Slovakia,29,Organic chemicals,261940
2005,2,Export,792,Turkey,100,Bulgaria,76,Aluminum and articles thereof,30648410
2013,1,Import,807,North Macedonia,705,Slovenia,65,Headgear and parts thereof,14693
2005,2,Export,76,Brazil,100,Bulgaria,34,"Soap, organic surface-active agents",322
2005,2,Export,643,Russian Federation,795,Turkmenistan,64,"Footwear, gaiters and the like; parts of such articles",70090
2015,1,Import,662,Saint Lucia,188,Costa Rica,21,Miscellaneous edible preparations,844637
2015,1,Import,276,Germany,116,Cambodia,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",12970
2004,1,Import,788,Tunisia,524,Nepal,41,Raw hides and skins (other than fur skins) and leather,14511
1997,2,Export,752,Sweden,558,Nicaragua,40,Rubber and articles thereof,1048
2004,2,Export,251,France,344,"China, Hong Kong SAR",37,Photographic or cinematographic goods,4934853
1999,2,Export,724,Spain,705,Slovenia,83,Miscellaneous articles of base metal,926184
1996,2,Export,300,Greece,208,Denmark,69,Ceramic products,162225
2002,1,Import,484,Mexico,642,Romania,53,Other vegetable textile fibers; paper yarn and woven fabric of paper yarn,4273
1999,2,Export,442,Luxembourg,604,Peru,99,Commodities not elsewhere specified,2639
1996,1,Import,156,China,300,Greece,96,Miscellaneous manufactured articles,1954
2008,1,Import,251,France,156,China,80,Tin and articles thereof,331535
2000,2,Export,792,Turkey,554,New Zealand,49,"Printed books, newspapers, pictures etc",244
2016,2,Export,251,France,504,Morocco,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,854750
2018,2,Export,203,Czechia,152,Chile,76,Aluminium and articles thereof,70319
2001,1,Import,508,Mozambique,231,Ethiopia,87,"Vehicles other than railway, tramway",186
2008,1,Import,398,Kazakhstan,608,Philippines,87,Vehicles other than railway or tramway rolling stock,93
