pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,32,Argentina,ARG,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,162740040,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,32,Argentina,ARG,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,264762907,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,36,Australia,AUS,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,878857024,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,36,Australia,AUS,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,1184835821,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,40,Austria,AUT,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,557036933,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,40,Austria,AUT,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,264866693,,,0
H5,2019,2019,2019,2,0,3,Re-Export,842,USA,USA,40,Austria,AUT,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,261613,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,44,Bahamas,BHS,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,204195081,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,44,Bahamas,BHS,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,346419381,,,0
H5,2019,2019,2019,2,0,3,Re-Export,842,USA,USA,44,Bahamas,BHS,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,4541509,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,48,Bahrain,BHR,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,32975147,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,48,Bahrain,BHR,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,260967224,,,0
